"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Roadmaps","Project Milestone ID","Project Milestone","SLA Status"
"T1A-16","T1a3","Prevent user from entering books that have already been added","","Done",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:03:34.996Z","2023-10-23T00:03:13.731Z","2023-10-22T22:16:27.494Z",,"2023-10-23T00:03:13.711Z",,,"2023-10-22T13:00:00.000Z","T1A-10","",,,
"T1A-17","T1a3","Convert user input to lowercase strings for easier handling and cross-referencing",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:04:27.851Z","2023-10-22T22:18:07.968Z","2023-10-22T22:16:27.397Z",,"2023-10-22T22:18:07.947Z",,,"2023-10-22T13:00:00.000Z","T1A-10","",,,
"T1A-11","T1a3","Allow user to add books (title, author, pages)","","Done",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T22:55:27.353Z","2023-10-22T22:15:45.930Z",,,"2023-10-22T22:15:45.911Z",,,"2023-10-22T13:00:00.000Z","T1A-10","",,,
"T1A-42","T1a3","Add book tags",,"Done",,"High",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-23T02:00:14.940Z","2023-10-23T04:24:41.200Z","2023-10-23T02:00:25.402Z",,"2023-10-23T04:24:41.179Z",,,"2023-10-22T13:00:00.000Z",,"",,,
"T1A-31","T1a3","Update progress by percent",,"Done",,"High",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:18:50.891Z","2023-10-23T01:57:58.277Z",,,"2023-10-23T01:57:58.261Z",,,"2023-10-22T13:00:00.000Z","T1A-29","",,,
"T1A-36","T1a3","Create bash script",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:37:01.882Z","2023-10-24T02:25:25.302Z","2023-10-23T05:48:20.115Z",,"2023-10-24T02:25:25.288Z",,,"2023-10-23T13:00:00.000Z",,"",,,
"T1A-13","T1a3","Create main program loop",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T22:59:12.033Z","2023-10-24T00:27:38.744Z","2023-10-23T05:48:17.561Z",,"2023-10-24T00:27:38.729Z",,,"2023-10-23T13:00:00.000Z",,"",,,
"T1A-43","T1a3","List books by tag",,"Done",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-23T02:01:57.174Z","2023-10-24T01:43:19.878Z","2023-10-23T02:01:57.196Z",,"2023-10-24T01:43:19.829Z",,,"2023-10-23T13:00:00.000Z",,"",,,
"T1A-50","T1a3","Tidy up code",,"Done",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-23T06:11:25.957Z","2023-10-25T05:30:21.473Z","2023-10-24T02:04:40.881Z",,"2023-10-25T05:30:21.455Z",,,"2023-10-24T13:00:00.000Z",,"",,,
"T1A-69","T1a3","Refactor add new pages",,"Done",,"No priority",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-24T23:10:57.037Z","2023-10-24T23:14:22.854Z","2023-10-24T23:10:57.067Z",,"2023-10-24T23:14:22.837Z",,,,,"",,,
"T1A-61","T1a3","Save books as TXT file",,"Done",,"No priority",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-24T05:17:39.693Z","2023-10-24T05:17:39.693Z",,,"2023-10-24T05:17:39.713Z",,,,,"",,,
"T1A-60","T1a3","Save books as CSV file",,"Done",,"No priority",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-24T05:17:18.606Z","2023-10-24T05:17:18.606Z",,,"2023-10-24T05:17:18.630Z",,,,,"",,,
"T1A-87","T1a3","Move code to src folder without breaking anything",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-25T20:40:06.259Z","2023-10-26T04:07:55.970Z","2023-10-25T20:40:06.865Z",,"2023-10-26T04:07:55.956Z",,,,,"",,,
"T1A-94","T1a3","Prevent user entering book pages <= 0",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Bug",,,,,"2023-10-26T04:07:52.634Z","2023-10-26T04:07:54.656Z","2023-10-26T04:07:52.673Z",,"2023-10-26T04:07:54.632Z",,,,,"",,,
"T1A-85","T1a3","Add comments to test explaining test procedures",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-25T05:33:14.477Z","2023-10-25T22:53:37.461Z","2023-10-25T05:33:14.505Z",,"2023-10-25T22:53:37.426Z",,,,,"",,,
"T1A-92","T1a3","Fix add single tags returning None",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Bug",,,,,"2023-10-25T21:33:28.749Z","2023-10-25T22:12:08.233Z","2023-10-25T21:33:28.778Z",,"2023-10-25T22:12:08.208Z",,,,,"",,,
"T1A-90","T1a3","Improve error handling with specific errors",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-25T21:01:09.401Z","2023-10-25T21:53:31.733Z","2023-10-25T21:01:09.439Z",,"2023-10-25T21:53:31.719Z",,,,,"",,,
"T1A-89","T1a3","Handle errors when no books in database",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Bug",,,,,"2023-10-25T21:00:26.301Z","2023-10-25T21:00:28.262Z","2023-10-25T21:00:26.406Z",,"2023-10-25T21:00:28.245Z",,,,,"",,,
"T1A-88","T1a3","Handle empty JSON error",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Bug",,,,,"2023-10-25T20:49:09.308Z","2023-10-25T20:49:11.506Z","2023-10-25T20:49:09.384Z",,"2023-10-25T20:49:11.463Z",,,,,"",,,
"T1A-80","T1a3","Add pytest tests",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-25T01:50:02.599Z","2023-10-25T05:27:34.358Z","2023-10-25T01:50:02.676Z",,"2023-10-25T05:27:34.321Z",,,,,"",,,
"T1A-84","T1a3","Add set book percent test",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"",,,,,"2023-10-25T05:27:20.670Z","2023-10-25T05:27:24.786Z",,,"2023-10-25T05:27:24.766Z",,,,"T1A-80","",,,
"T1A-83","T1a3","Add add book test",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"",,,,,"2023-10-25T05:18:53.495Z","2023-10-25T05:18:59.595Z",,,"2023-10-25T05:18:59.567Z",,,,"T1A-80","",,,
"T1A-82","T1a3","Ensure pep8 consistency",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-25T04:42:25.646Z","2023-10-25T05:18:38.915Z","2023-10-25T04:42:25.671Z",,"2023-10-25T05:18:38.838Z",,,,,"",,,
"T1A-66","T1a3","Fix auto delete book after update progress",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Bug",,,,,"2023-10-24T06:19:41.947Z","2023-10-24T06:23:19.672Z","2023-10-24T06:19:41.975Z",,"2023-10-24T06:23:19.659Z",,,,,"",,,
"T1A-62","T1a3","Fix broken set currently reading book feature",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Bug",,,,,"2023-10-24T05:30:28.821Z","2023-10-24T05:36:06.161Z","2023-10-24T05:30:28.872Z",,"2023-10-24T05:36:06.127Z",,,,,"",,,
"T1A-54","T1a3","Fix books not being added to list",,"Done",,"Urgent",,,"tobyfehily@gmail.com",,"Bug",,,,,"2023-10-24T01:13:48.228Z","2023-10-24T01:16:05.101Z","2023-10-24T01:13:48.311Z",,"2023-10-24T01:16:05.013Z",,,,,"",,,
"T1A-91","T1a3","Complete final style guide check",,"Done",,"High",,,"tobyfehily@gmail.com",,"Bug",,,,,"2023-10-25T21:01:44.392Z","2023-10-26T05:33:03.863Z","2023-10-25T21:01:44.445Z",,"2023-10-26T05:33:03.836Z",,,,,"",,,
"T1A-79","T1a3","Refactor book_list[index -1], book['tags'], etc. into clear variables",,"Done",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-25T01:24:41.684Z","2023-10-25T01:54:22.984Z","2023-10-25T01:24:41.708Z",,"2023-10-25T01:54:22.965Z",,,,,"",,,
"T1A-81","T1a3","Fix lowercase matching for tags",,"Done",,"High",,,"tobyfehily@gmail.com",,"Bug",,,,,"2023-10-25T01:52:59.045Z","2023-10-25T01:54:21.580Z","2023-10-25T01:52:59.101Z",,"2023-10-25T01:54:21.560Z",,,,,"",,,
"T1A-78","T1a3","Refactor update book progress",,"Done",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-25T01:12:57.281Z","2023-10-25T01:45:35.764Z","2023-10-25T01:12:57.305Z",,"2023-10-25T01:45:35.728Z",,,,,"",,,
"T1A-77","T1a3","Fix IndexError in mark book as reading",,"Done",,"High",,,"tobyfehily@gmail.com",,"Bug",,,,,"2023-10-25T00:56:51.269Z","2023-10-25T00:59:53.778Z","2023-10-25T00:56:51.301Z",,"2023-10-25T00:59:53.765Z",,,,,"",,,
"T1A-76","T1a3","Refactor random book",,"Done",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-25T00:55:26.078Z","2023-10-25T00:55:28.429Z","2023-10-25T00:55:26.115Z",,"2023-10-25T00:55:28.418Z",,,,,"",,,
"T1A-75","T1a3","Refactor get tags",,"Done",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-25T00:20:54.760Z","2023-10-25T00:51:55.138Z","2023-10-25T00:20:54.801Z",,"2023-10-25T00:51:55.122Z",,,,,"",,,
"T1A-74","T1a3","Refactor select book prompt",,"Done",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-25T00:14:56.924Z","2023-10-25T00:17:21.887Z","2023-10-25T00:14:56.957Z",,"2023-10-25T00:17:21.873Z",,,,,"",,,
"T1A-73","T1a3","Refactor set current book",,"Done",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-25T00:14:43.241Z","2023-10-25T00:14:45.265Z","2023-10-25T00:14:43.270Z",,"2023-10-25T00:14:45.244Z",,,,,"",,,
"T1A-72","T1a3","Refactor delete book",,"Done",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-24T23:58:54.505Z","2023-10-25T00:14:30.309Z","2023-10-24T23:58:54.537Z",,"2023-10-25T00:14:30.278Z",,,,,"",,,
"T1A-71","T1a3","Refactor add book info (combine title and author function)",,"Done",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-24T23:58:13.020Z","2023-10-24T23:58:15.087Z","2023-10-24T23:58:13.143Z",,"2023-10-24T23:58:15.074Z",,,,,"",,,
"T1A-70","T1a3","Refactor continue adding books prompt",,"Done",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-24T23:25:40.874Z","2023-10-24T23:57:53.264Z","2023-10-24T23:25:40.934Z",,"2023-10-24T23:57:53.251Z",,,,,"",,,
"T1A-68","T1a3","Refactor add new tags",,"Done",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-24T23:10:36.944Z","2023-10-24T23:25:20.607Z","2023-10-24T23:10:36.968Z",,"2023-10-24T23:25:20.582Z",,,,,"",,,
"T1A-67","T1a3","Refactor add book title and author",,"Done",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-24T23:01:28.607Z","2023-10-24T23:10:22.401Z",,,"2023-10-24T23:10:22.376Z",,,,"T1A-50","",,,
"T1A-64","T1a3","Fix new tags breaking sort by tags",,"Done",,"High",,,"tobyfehily@gmail.com",,"Bug",,,,,"2023-10-24T05:50:12.749Z","2023-10-24T05:52:55.264Z","2023-10-24T05:50:12.805Z",,"2023-10-24T05:52:55.248Z",,,,,"",,,
"T1A-63","T1a3","Add pages read count to book list",,"Done",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-24T05:45:00.893Z","2023-10-24T05:45:02.941Z","2023-10-24T05:45:01.095Z",,"2023-10-24T05:45:02.904Z",,,,,"",,,
"T1A-58","T1a3","Fix [ and ] being added as tags",,"Done",,"High",,,"tobyfehily@gmail.com",,"Bug",,,,,"2023-10-24T05:02:15.196Z","2023-10-24T05:16:41.535Z","2023-10-24T05:02:15.841Z",,"2023-10-24T05:16:41.517Z",,,,,"",,,
"T1A-57","T1a3","Newly added books not being retrieved",,"Done",,"High",,,"tobyfehily@gmail.com",,"Bug",,,,,"2023-10-24T04:49:05.171Z","2023-10-24T05:01:46.776Z","2023-10-24T04:49:05.193Z",,"2023-10-24T05:01:46.764Z",,,,,"",,,
"T1A-38","T1a3","Prevent user from entering empty inputs",,"Done",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-23T00:07:02.602Z","2023-10-24T02:30:32.965Z","2023-10-24T01:27:09.372Z",,"2023-10-24T02:30:32.952Z",,,,,"",,,
"T1A-52","T1a3","Test book deletion is working as intended","","Done",,"High",,,"tobyfehily@gmail.com",,"Bug",,,,,"2023-10-23T23:14:54.650Z","2023-10-23T23:18:44.036Z","2023-10-23T23:14:54.696Z",,"2023-10-23T23:18:44.017Z",,,,,"",,,
"T1A-49","T1a3","Prevent user from entering empty tags",,"Done",,"High",,,"tobyfehily@gmail.com",,"Bug",,,,,"2023-10-23T05:46:28.389Z","2023-10-23T05:46:39.761Z","2023-10-23T05:46:28.417Z",,"2023-10-23T05:46:39.745Z",,,,,"",,,
"T1A-48","T1a3","Display current tags when adding tags",,"Done",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-23T04:25:12.075Z","2023-10-23T05:42:55.780Z","2023-10-23T04:25:12.121Z",,"2023-10-23T05:42:55.764Z",,,,,"",,,
"T1A-47","T1a3","Prevent user from adding string for book pages",,"Done",,"High",,,"tobyfehily@gmail.com",,"Bug",,,,,"2023-10-23T03:31:08.167Z","2023-10-23T04:24:39.191Z","2023-10-23T03:31:08.229Z",,"2023-10-23T04:24:39.178Z",,,,,"",,,
"T1A-46","T1a3","Make random books only select not currently reading books",,"Done",,"High",,,"tobyfehily@gmail.com",,"Bug",,,,,"2023-10-23T03:28:11.320Z","2023-10-23T03:30:43.373Z","2023-10-23T03:28:11.432Z",,"2023-10-23T03:30:43.355Z",,,,,"",,,
"T1A-45","T1a3","Prevent user from accessing index outside of list range",,"Done",,"High",,,"tobyfehily@gmail.com",,"Bug",,,,,"2023-10-23T03:15:12.890Z","2023-10-23T03:24:03.794Z","2023-10-23T03:15:12.915Z",,"2023-10-23T03:24:03.781Z",,,,,"",,,
"T1A-93","T1a3","Fix JSON set conversion bug",,"Done",,"Medium",,,"tobyfehily@gmail.com",,"Bug",,,,,"2023-10-25T22:34:45.006Z","2023-10-25T22:34:47.320Z","2023-10-25T22:34:45.029Z",,"2023-10-25T22:34:47.303Z",,,,,"",,,
"T1A-86","T1a3","Load and save books with JSON",,"Done",,"Medium",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-25T20:39:43.178Z","2023-10-25T20:43:38.595Z","2023-10-25T20:39:43.230Z",,"2023-10-25T20:43:38.580Z",,,,,"",,,
"T1A-41","T1a3","Consider merging set book pages and set book percentage functions",,"Done",,"Medium",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-23T01:57:50.411Z","2023-10-25T05:29:48.026Z",,,"2023-10-25T05:29:48.009Z",,,,,"",,,
"T1A-55","T1a3","Add emojis",,"Done",,"Low",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-24T01:17:00.685Z","2023-10-24T01:21:29.840Z","2023-10-24T01:17:00.729Z",,"2023-10-24T01:21:28.742Z",,,,,"",,,
"T1A-15","T1a3","Catch input errors (e.g., TypeError for int, float)",,"Canceled",,"Urgent",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:02:52.822Z","2023-10-22T22:20:04.786Z","2023-10-22T22:16:27.310Z",,,"2023-10-22T22:20:04.763Z",,"2023-10-22T13:00:00.000Z","T1A-10","",,,
"T1A-18","T1a3","Allow user to enter multiple books at a time",,"Canceled",,"High",,,"tobyfehily@gmail.com",,"Feature",,,,,"2023-10-19T23:05:16.978Z","2023-10-26T00:13:32.875Z","2023-10-23T00:25:49.175Z",,,"2023-10-26T00:13:32.863Z",,"2023-10-23T13:00:00.000Z","T1A-10","",,,
"T1A-59","T1a3","Load and save books with JSON",,"Canceled",,"No priority",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-24T05:16:55.984Z","2023-10-24T05:16:55.984Z",,,,"2023-10-24T05:16:56.031Z",,,,"",,,
"T1A-56","T1a3","Merge list currently reading books and list to be read books into one menu option",,"Canceled",,"High",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-24T02:32:06.803Z","2023-10-25T05:29:33.335Z",,,,"2023-10-25T05:29:33.318Z",,,,"",,,
"T1A-40","T1a3","Consider merging get list and get random book under one get function",,"Canceled",,"Medium",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-23T01:27:35.035Z","2023-10-25T05:30:11.146Z",,,,"2023-10-25T05:30:11.117Z",,,,"",,,
"T1A-51","T1a3","Clear screen after input for better legibility",,"Canceled",,"Medium",,,"tobyfehily@gmail.com",,"Improvement",,,,,"2023-10-23T23:03:19.899Z","2023-10-24T04:05:47.177Z",,,,"2023-10-24T04:05:47.166Z",,,,"",,,
